Test Method,MTS Simplified Tensile Edited.msm,,,
Sample I. D.,GroupB_polycarbonate.mss,,,
Specimen Number,5,,Trial 1,
,,,,
Load (N),Time (min),Extension (mm),Stress (MPa),Strain (mm/mm)
,,,,
1825.784,0.707,9.703,,
1825.962,0.708,9.727,,
1825.833,0.71,9.749,,
1825.632,0.712,9.773,,
1825.97,0.713,9.797,,
1825.792,0.715,9.82,,
1825.998,0.717,9.843,,
1825.841,0.718,9.866,,
1825.691,0.72,9.89,,
1826.008,0.722,9.913,,
1825.776,0.723,9.936,,
1826.049,0.725,9.96,,
1825.866,0.727,9.983,,
1825.799,0.728,10.006,,
1825.951,0.73,10.03,,
1825.908,0.732,10.053,,
1826.241,0.733,10.077,,
1826.077,0.735,10.1,,
1826.194,0.737,10.123,,
1826.083,0.738,10.146,,
1825.977,0.74,10.17,,
1826.425,0.742,10.193,,
1826.058,0.743,10.216,,
1826.186,0.745,10.24,,
1826.309,0.747,10.263,,
1826.048,0.748,10.286,,
1826.273,0.75,10.31,,
1826.039,0.752,10.333,,
1826.324,0.753,10.357,,
1826.522,0.755,10.38,,
1826.257,0.757,10.403,,
1826.606,0.758,10.426,,
1826.488,0.76,10.449,,
1826.583,0.762,10.473,,
1826.534,0.763,10.496,,
1826.316,0.765,10.52,,
1826.665,0.767,10.543,,
1826.272,0.768,10.566,,
1826.447,0.77,10.59,,
1826.417,0.772,10.613,,
1826.411,0.773,10.636,,
1826.822,0.775,10.66,,
1826.396,0.777,10.683,,
1826.484,0.778,10.707,,
1826.47,0.78,10.729,,
1826.333,0.782,10.753,,
1826.713,0.783,10.776,,
1826.425,0.785,10.799,,
1826.785,0.787,10.823,,
1826.626,0.788,10.846,,
1826.683,0.79,10.87,,
1826.955,0.792,10.893,,
1826.707,0.793,10.916,,
1827.01,0.795,10.94,,
1826.908,0.797,10.963,,
1827.052,0.798,10.987,,
1827.16,0.8,11.01,,
1827.064,0.802,11.033,,
1827.478,0.803,11.057,,
1827.193,0.805,11.079,,
1827.536,0.807,11.103,,
1827.745,0.808,11.126,,
1827.653,0.81,11.15,,
1828.09,0.812,11.173,,
1828.018,0.813,11.196,,
1828.108,0.815,11.22,,
1828.391,0.817,11.243,,
1828.334,0.818,11.266,,
1828.814,0.82,11.29,,
1828.519,0.822,11.313,,
1828.957,0.823,11.336,,
1829.223,0.825,11.359,,
1829.242,0.827,11.383,,
1829.589,0.828,11.407,,
1829.52,0.83,11.429,,
1829.624,0.832,11.453,,
1829.996,0.833,11.476,,
1829.817,0.835,11.5,,
1830.52,0.837,11.524,,
1830.136,0.838,11.546,,
1830.197,0.84,11.57,,
1830.237,0.842,11.593,,
1830.247,0.843,11.616,,
1830.63,0.845,11.64,,
1830.521,0.847,11.663,,
1830.885,0.848,11.687,,
1831.081,0.85,11.71,,
1831.033,0.852,11.733,,
1831.406,0.853,11.757,,
1831.322,0.855,11.78,,
1831.488,0.857,11.803,,
1831.525,0.858,11.826,,
1831.456,0.86,11.85,,
1831.876,0.862,11.873,,
1831.484,0.863,11.896,,
1831.901,0.865,11.92,,
1831.84,0.867,11.943,,
1831.992,0.868,11.966,,
1832.179,0.87,11.99,,
1831.931,0.872,12.013,,
1832.201,0.873,12.037,,
1832.191,0.875,12.059,,
1832.199,0.877,12.083,,
1832.338,0.878,12.106,,
1832.234,0.88,12.13,,
1832.506,0.882,12.153,,
1832.275,0.883,12.176,,
1832.431,0.885,12.2,,
1832.616,0.887,12.223,,
1832.55,0.888,12.246,,
1832.825,0.89,12.27,,
1832.435,0.892,12.293,,
1832.704,0.893,12.317,,
1832.55,0.895,12.339,,
1832.579,0.897,12.363,,
1832.902,0.898,12.386,,
1832.816,0.9,12.409,,
1832.931,0.902,12.433,,
1833.01,0.903,12.456,,
1832.959,0.905,12.48,,
1832.96,0.907,12.503,,
1832.812,0.908,12.526,,
1833.096,0.91,12.55,,
1833.043,0.912,12.573,,
1833.016,0.913,12.596,,
1833.334,0.915,12.62,,
1833.13,0.917,12.643,,
1833.431,0.918,12.667,,
1833.343,0.92,12.689,,
1833.406,0.922,12.713,,
1833.461,0.923,12.736,,
1833.373,0.925,12.759,,
1833.893,0.927,12.783,,
1833.532,0.928,12.806,,
1833.817,0.93,12.83,,
1834.126,0.932,12.853,,
1834.024,0.933,12.876,,
1834.283,0.935,12.9,,
1834.201,0.937,12.923,,
1834.691,0.938,12.946,,
1834.754,0.94,12.969,,
1834.768,0.942,12.993,,
1835.143,0.943,13.017,,
1835.163,0.945,13.04,,
1835.468,0.947,13.063,,
1835.541,0.948,13.086,,
1835.493,0.95,13.11,,
1835.811,0.952,13.133,,
1835.719,0.953,13.156,,
1836.177,0.955,13.18,,
1836.137,0.957,13.203,,
1836.31,0.958,13.226,,
1836.673,0.96,13.25,,
1836.548,0.962,13.273,,
1836.779,0.963,13.297,,
1836.752,0.965,13.319,,
1836.833,0.967,13.343,,
1836.85,0.968,13.366,,
1836.716,0.97,13.389,,
1837.123,0.972,13.413,,
1837.037,0.973,13.436,,
1837.023,0.975,13.46,,
1837.224,0.977,13.483,,
1836.925,0.978,13.506,,
1837.388,0.98,13.53,,
1837.107,0.982,13.553,,
1837.332,0.983,13.577,,
1837.319,0.985,13.6,,
1837.106,0.987,13.623,,
1837.372,0.988,13.646,,
1837.093,0.99,13.669,,
1837.32,0.992,13.693,,
1837.757,0.993,13.716,,
1837.459,0.995,13.739,,
1837.825,0.997,13.763,,
1837.889,0.998,13.786,,
1837.962,1,13.81,,
1838.197,1.002,13.833,,
1838.064,1.003,13.856,,
1838.564,1.005,13.88,,
1838.42,1.007,13.903,,
1838.571,1.008,13.927,,
1838.799,1.01,13.95,,
1838.272,1.012,13.973,,
1838.657,1.013,13.996,,
1838.644,1.015,14.019,,
1838.755,1.017,14.043,,
1839.045,1.018,14.066,,
1838.901,1.02,14.09,,
1839.338,1.022,14.114,,
1839.096,1.023,14.136,,
1839.163,1.025,14.16,,
1839.332,1.027,14.183,,
1838.782,1.028,14.206,,
1839.258,1.03,14.23,,
1839.011,1.032,14.253,,
1839.238,1.033,14.276,,
1839.128,1.035,14.299,,
1839.166,1.037,14.323,,
1839.374,1.038,14.347,,
1839.295,1.04,14.37,,
1839.484,1.042,14.393,,
1839.371,1.043,14.416,,
1839.398,1.045,14.44,,
1839.493,1.047,14.463,,
1839.177,1.048,14.486,,
1839.507,1.05,14.51,,
1839.363,1.052,14.533,,
1839.582,1.053,14.556,,
1839.836,1.055,14.58,,
1839.723,1.057,14.603,,
1840.153,1.058,14.627,,
1839.944,1.06,14.65,,
1840.118,1.062,14.673,,
1840.287,1.063,14.696,,
1840.16,1.065,14.719,,
1840.57,1.067,14.743,,
1840.517,1.068,14.766,,
1840.805,1.07,14.79,,
1840.954,1.072,14.813,,
1840.964,1.073,14.836,,
1841.441,1.075,14.86,,
1841.344,1.077,14.883,,
1841.735,1.078,14.907,,
1841.673,1.08,14.93,,
1841.816,1.082,14.953,,
1842.265,1.083,14.977,,
1842.138,1.085,14.999,,
1842.428,1.087,15.023,,
1842.56,1.088,15.046,,
1842.584,1.09,15.07,,
1842.833,1.092,15.093,,
1842.782,1.093,15.116,,
1843.337,1.095,15.14,,
1843.212,1.097,15.163,,
1843.53,1.098,15.186,,
1843.74,1.1,15.21,,
1843.714,1.102,15.233,,
1843.985,1.103,15.257,,
1844.09,1.105,15.279,,
1844.188,1.107,15.303,,
1844.235,1.108,15.326,,
1844.328,1.11,15.35,,
1844.648,1.112,15.373,,
1844.647,1.113,15.396,,
1844.769,1.115,15.42,,
1844.968,1.117,15.443,,
1844.936,1.118,15.466,,
1845.157,1.12,15.49,,
1844.813,1.122,15.513,,
1844.963,1.123,15.537,,
1844.927,1.125,15.559,,
1844.995,1.127,15.583,,
1845.229,1.128,15.606,,
1844.855,1.13,15.629,,
1845.103,1.132,15.653,,
1845.097,1.133,15.676,,
1845.032,1.135,15.7,,
1845.132,1.137,15.723,,
1844.857,1.138,15.746,,
1845.123,1.14,15.77,,
1844.903,1.142,15.793,,
1844.793,1.143,15.816,,
